,Local.Modularity,Clustering.Coef,Participation.Coef,Within.Module.Z.Degree,Participant.Manifold.Eccentricity,Global.Modularity,Transitivity,Char.Path.Length,Timepoint,subid
135,4.605,0.0017429639588396693,0.5326901893416396,-6.494804694057165e-16,0.04666150668463089,0.672929611089923,0.0017429639588396697,0.007725876254015264,bas1,sub-A00064416
136,4.93,0.001528274068733332,0.5209421913182024,3.4416913763379854e-16,0.04847786712088491,0.699027022950274,0.0015282740687333326,0.007718927723784124,bas1,sub-A00064418
137,5.49,0.0015302065101506495,0.5315352755356438,2.0539125955565397e-16,0.048749281142732456,0.7167161933800552,0.0015302065101506495,0.007743057436629345,bas1,sub-A00064505
138,4.5,0.0014560628172760506,0.5180800648554624,4.4408920985006264e-17,0.048164823278940186,0.7161294254581482,0.0014560628172760508,0.007678538299902263,bas1,sub-A00064507
139,4.925,0.0016398252309495279,0.5233951369585794,1.509903313490213e-16,0.04724139440345763,0.6850124354212723,0.0016398252309495279,0.007742841750529817,bas1,sub-A00064596
140,5.23,0.001620274311194565,0.5160164383714794,1.176836406102666e-16,0.04629897835491219,0.6915336031483716,0.0016202743111945654,0.0076735102620020075,bas1,sub-A00065250
141,4.5,0.0015489990545997897,0.5218026797000452,-7.549516567451065e-17,0.04764965226090005,0.7089890335549739,0.0015489990545997912,0.0076815059656293976,bas1,sub-A00065263
142,5.29,0.0016146228432171966,0.5304542539284166,5.473399511402021e-16,0.047661275106262446,0.6995071424941458,0.0016146228432171973,0.007686749006940619,bas1,sub-A00065792
143,5.425,0.0015496878986557788,0.5168889220292059,-1.1657341758564144e-16,0.04707643856645023,0.7105287433159397,0.001549687898655779,0.007650498740787279,bas1,sub-A00065802
144,4.615,0.0015752285144222471,0.5256276733293855,-5.551115123125783e-17,0.046889195190606726,0.6930998769625569,0.001575228514422247,0.007662652782445697,bas1,sub-A00065820
145,4.68,0.0015831289503568258,0.519689625749992,2.964295475749168e-16,0.04704034729716225,0.7061127372020017,0.0015831289503568256,0.007718358517426206,bas1,sub-A00065934
146,5.435,0.0017039834871457637,0.5266580213279849,1.4654943925052067e-16,0.047021615989694635,0.684716975373787,0.0017039834871457641,0.007754256581525493,bas1,sub-A00065975
147,5.895,0.0016917901866710203,0.5325915389582271,5.484501741648274e-16,0.046963131161254196,0.6877485176687828,0.0016917901866710203,0.007725810615542738,bas1,sub-A00065978
148,5.475,0.00154437673911032,0.51567256691938,2.375877272697835e-16,0.046611206116183815,0.7148069837651494,0.0015443767391103197,0.0076557279791157045,bas1,sub-A00066314
