,Local.Modularity,Clustering.Coef,Participation.Coef,Within.Module.Z.Degree,Participant.Manifold.Eccentricity,Global.Modularity,Transitivity,Char.Path.Length,Timepoint,subid
109,2.86,0.4888347207226589,0.5771631706195655,-4.3298697960381107e-17,0.10315391272877733,0.4680610884316121,0.4888347207226591,0.12848692068961823,baseline,sub-211
110,3.58,0.3529109259105162,0.5572143378703392,7.632783294297952e-18,0.10628963967775668,0.4668868247963164,0.35291092591051615,0.08002687467980142,baseline,sub-214
111,3.205,0.37851196960169325,0.5699594100911818,1.865174681370263e-16,0.09998178772665643,0.4578277424355581,0.3785119696016931,0.09565922984102825,baseline,sub-215
112,2.38,0.3829126248207043,0.5318079738852007,-2.2648549702353194e-16,0.10971926227263282,0.507969922078495,0.3829126248207043,0.08530369371923713,baseline,sub-216
113,3.19,0.4021112163505999,0.532870112383517,-2.4924506902834766e-16,0.1180270185393919,0.5446940428938205,0.4021112163505995,0.08520625398565605,baseline,sub-217
114,2.91,0.3664439311918122,0.46743926629767807,-1.4349632593280148e-16,0.11648226962016865,0.5503513316286937,0.3664439311918124,0.07420319775286696,baseline,sub-222
115,4.34,0.3987636523651652,0.6082395120591947,7.771561172376097e-18,0.10054221314899667,0.3773181558744189,0.3987636523651653,0.1189414315196995,baseline,sub-223
116,2.735,0.33925399869117756,0.5187258509296989,-4.3853809472693685e-17,0.09842832134182876,0.42579574077616983,0.33925399869117784,0.08415554554147028,baseline,sub-224
117,3.115,0.24475188527506414,0.5707449245486944,-2.55351295663786e-16,0.09830137331387206,0.4237144795887893,0.24475188527506428,0.06189836465830812,baseline,sub-229
118,2.585,0.3925766152136614,0.6109756357450137,-1.2934098236883074e-16,0.1056941006079315,0.4691757651296363,0.3925766152136613,0.09957428172911217,baseline,sub-231
119,4.255,0.37150952117241737,0.5562528840635992,-2.242650509742816e-16,0.10552291472269515,0.4619330400631946,0.3715095211724175,0.09792765441109975,baseline,sub-235
120,2.53,0.39029644522766427,0.5957095212914778,-1.8984813721090176e-16,0.10761449261548896,0.4352677227849404,0.39029644522766416,0.12144718656544524,baseline,sub-241
121,2.325,0.4224140741107007,0.5050534692880685,-8.770761894538737e-17,0.11440075272881348,0.4934434108545129,0.42241407411070087,0.09277253222029755,baseline,sub-242
122,2.945,0.4314680093638549,0.5758531703580354,-1.4432899320127036e-17,0.0994487660090829,0.4603050767949667,0.431468009363855,0.10714143007868535,baseline,sub-247
123,3.36,0.42258643031599624,0.5031829665048656,-7.382983113757291e-17,0.11180167525185376,0.5121775321657555,0.42258643031599596,0.09794195178940797,baseline,sub-248
124,2.535,0.4326141276235257,0.46308922977725414,1.1136924715771102e-16,0.1324295994759531,0.5488182132435976,0.4326141276235256,0.08910951273973843,baseline,sub-249
125,3.305,0.3865449174593079,0.5404142641065394,-8.881784197001253e-18,0.12453492305987428,0.512328509260527,0.38654491745930786,0.08863692129853856,baseline,sub-250
126,2.69,0.41385628892983795,0.4510775039401198,-3.219646771412954e-17,0.11892496734188435,0.5332465319916414,0.41385628892983783,0.08602202209542933,baseline,sub-252
127,3.25,0.3420416656894865,0.5321263880302952,1.824929096727601e-17,0.11267729258114803,0.5234560323543316,0.3420416656894864,0.07169495144467852,baseline,sub-256
128,2.56,0.45651079440580633,0.5533891815765744,-5.863365348801607e-17,0.11010250611821869,0.49538665833464157,0.45651079440580666,0.11191454299016455,baseline,sub-257
129,2.38,0.4447477605220621,0.5509371433951614,1.4432899320127036e-17,0.11423372261784545,0.4747674675550228,0.44474776052206194,0.10841107073507497,baseline,sub-258
130,2.595,0.3628515037744337,0.5907668424223529,3.3306690738754695e-17,0.10154809857366313,0.4399450153305807,0.36285150377443376,0.09176760980712151,baseline,sub-261
131,2.585,0.4073385728009437,0.5350872944994927,3.462508058049707e-17,0.11276853421250223,0.4756053415065149,0.40733857280094377,0.10363246866030448,baseline,sub-262
132,2.815,0.39322632527838897,0.5118402182423133,1.0325074129013956e-16,0.11315352703092696,0.49175189595385194,0.3932263252783894,0.09525095640782058,baseline,sub-263
133,3.2,0.410387403843474,0.4922032505910211,-3.93868965220534e-17,0.10126683145427398,0.5272271947555811,0.41038740384347416,0.08952903128047772,baseline,sub-264
134,3.65,0.3955684389932793,0.591201250969631,-1.4051260155412137e-16,0.10005012820489093,0.4393279216384197,0.3955684389932795,0.10465766247870516,baseline,sub-265
135,2.66,0.41237059272241644,0.49474400630147713,-2.2759572004815708e-17,0.11393937280456948,0.5265858383058846,0.4123705927224165,0.0932820643088375,baseline,sub-266
136,3.985,0.40493149935276757,0.5927208947471989,-1.1934897514720433e-17,0.10348283083991937,0.4676832375027321,0.40493149935276745,0.10397840878108316,baseline,sub-267
137,3.235,0.500721672178596,0.542435481002109,-4.5241588253475126e-17,0.10854099166620487,0.4585892096083788,0.5007216721785959,0.12056281620552889,baseline,sub-270
138,2.835,0.5387131469095184,0.5226435110847567,-2.4424906541753446e-16,0.11376311794195476,0.46691364615776654,0.5387131469095185,0.12777917466929653,baseline,sub-272
139,3.345,0.4075585215695614,0.5412368845578099,1.6986412276764895e-16,0.1113990071663364,0.5225262948288837,0.40755852156956146,0.08683032949046361,baseline,sub-273
140,2.78,0.5024947985388796,0.5445998269119694,9.43689570931383e-17,0.12401970780321785,0.5361759617704105,0.5024947985388799,0.11406668687671018,baseline,sub-274
141,2.425,0.512278508299649,0.48931121043503967,-1.38222766565832e-16,0.1272569180914035,0.5254654196207484,0.512278508299649,0.11701209814215088,baseline,sub-275
142,3.035,0.40687599469627195,0.505870547669815,-1.0047518372857667e-16,0.11414313410546707,0.49412409209079416,0.4068759946962718,0.09296595651329692,baseline,sub-276
143,2.995,0.3841192046710301,0.4552015168120234,-6.38378239159465e-17,0.1173832416240775,0.5409073991382725,0.38411920467102983,0.07874270394699832,baseline,sub-280
144,2.54,0.4397625701466083,0.46475759119955357,-3.1655233989624774e-16,0.11965164439909148,0.5346214469072129,0.43976257014660797,0.09931363793437911,baseline,sub-281
145,3.29,0.426229000747571,0.5255081017926502,1.3211653993039362e-16,0.11544159168670597,0.5016398866887348,0.426229000747571,0.09786376384130545,baseline,sub-282
146,2.695,0.48972600952344725,0.5859417328482945,-2.997602166487923e-17,0.10498211965491158,0.4297650736469174,0.4897260095234469,0.137221623079722,baseline,sub-284
147,3.25,0.42673285319252335,0.5197548717897211,2.6756374893466274e-16,0.107713256395785,0.5192536784374746,0.4267328531925233,0.09803368025782942,baseline,sub-285
148,3.005,0.4371124498726456,0.5191278183114134,-9.214851104388799e-17,0.10225875148266163,0.4818097285486745,0.437112449872646,0.10429320589049101,baseline,sub-286
149,2.925,0.3358472625689894,0.49307387012554954,-2.248201624865942e-17,0.10862330271758029,0.49843977928880556,0.33584726256898956,0.07548512324114447,baseline,sub-290
150,2.735,0.40941348735109484,0.5532034572012379,-7.583343675232613e-17,0.10711794289101542,0.4163725396700746,0.4094134873510949,0.10621950476099663,baseline,sub-292
