"dataset","modality","node","eccentricity.cv","Group"
"2","2",84,0.381038123695353,"NKI Functional"
"1","1",85,0.0787550258541294,"CALM Structural"
"2","1",85,0.105846865693797,"NKI Structural"
"1","2",85,0.309401163990931,"CALM Functional"
"2","2",85,0.332684521561233,"NKI Functional"
"1","1",86,0.097457814206194,"CALM Structural"
"2","1",86,0.125559363901876,"NKI Structural"
"1","2",86,0.331938962765702,"CALM Functional"
"2","2",86,0.381967535249591,"NKI Functional"
"1","1",87,0.0845866116362842,"CALM Structural"
"2","1",87,0.0985181688237309,"NKI Structural"
"1","2",87,0.323983595653348,"CALM Functional"
"2","2",87,0.316808128925997,"NKI Functional"
"1","1",88,0.144842777012936,"CALM Structural"
"2","1",88,0.155809931332275,"NKI Structural"
"1","2",88,0.319703747241775,"CALM Functional"
"2","2",88,0.412454469997913,"NKI Functional"
"1","1",89,0.0998126568070456,"CALM Structural"
"2","1",89,0.110157495155958,"NKI Structural"
"1","2",89,0.237731048928194,"CALM Functional"
"2","2",89,0.304682624530631,"NKI Functional"
"1","1",90,0.123467397208162,"CALM Structural"
"2","1",90,0.1319476592632,"NKI Structural"
"1","2",90,0.409423289969214,"CALM Functional"
"2","2",90,0.497247312560041,"NKI Functional"
"1","1",91,0.0992208882874896,"CALM Structural"
"2","1",91,0.109906904623001,"NKI Structural"
"1","2",91,0.216126316676967,"CALM Functional"
"2","2",91,0.261089254291259,"NKI Functional"
"1","1",92,0.119439373780288,"CALM Structural"
"2","1",92,0.137050301998628,"NKI Structural"
"1","2",92,0.314704896488302,"CALM Functional"
"2","2",92,0.348630705309144,"NKI Functional"
"1","1",93,0.10951542047602,"CALM Structural"
"2","1",93,0.137764107169336,"NKI Structural"
"1","2",93,0.259781990131036,"CALM Functional"
"2","2",93,0.307615978815692,"NKI Functional"
"1","1",94,0.100369997360733,"CALM Structural"
"2","1",94,0.11624404708761,"NKI Structural"
"1","2",94,0.266321948229894,"CALM Functional"
"2","2",94,0.322112464944631,"NKI Functional"
"1","1",95,0.116202178614429,"CALM Structural"
"2","1",95,0.146422537642299,"NKI Structural"
"1","2",95,0.320215435921861,"CALM Functional"
"2","2",95,0.327478648672434,"NKI Functional"
"1","1",96,0.0870727778847945,"CALM Structural"
"2","1",96,0.107538871779992,"NKI Structural"
"1","2",96,0.334024785735982,"CALM Functional"
"2","2",96,0.355662874332938,"NKI Functional"
"1","1",97,0.109799984054171,"CALM Structural"
"2","1",97,0.141894151192668,"NKI Structural"
"1","2",97,0.244889632988416,"CALM Functional"
"2","2",97,0.352820514293838,"NKI Functional"
"1","1",98,0.134124381619944,"CALM Structural"
"2","1",98,0.166622267937116,"NKI Structural"
"1","2",98,0.291040480890879,"CALM Functional"
